Medicine_id,Substance_id
1,1
2,2
3,3
4,3
5,4
6,5
7,6
8,7
8,8
9,9
10,10
11,3
12,11
13,12
14,12
15,12
16,12
17,12
18,12
19,13
20,13
21,13
22,12
23,12
24,13
25,13
26,13
27,13
28,13
29,12
30,13
31,13
32,12
33,12
34,12
35,12
36,12
37,12
38,12
39,12
40,12
41,12
42,12
43,12
44,12
45,12
46,12
47,12
48,12
49,12
50,12
51,12
52,12
53,12
54,12
55,12
56,12
57,12
58,14
59,12
60,12
61,12
62,12
63,12
64,12
65,12
66,12
67,12
68,12
69,12
70,12
71,12
72,12
73,12
74,12
75,12
76,12
77,12
78,12
79,12
80,15
81,14
82,14
83,12
84,12
85,16
86,12
87,12
88,17
88,18
89,19
90,20
91,21
92,21
93,21
94,22
95,23
96,24
97,25
98,26
99,27
100,28
101,29
101,30
101,31
101,32
102,30
103,29
103,30
104,33
105,34
105,35
106,36
107,37
108,38
109,38
110,39
111,40
112,40
113,40
114,40
115,40
116,40
117,41
118,42
119,43
120,44
121,45
122,46
123,46
124,46
125,47
126,48
127,49
128,50
129,51
130,52
131,47
132,53
133,54
134,55
135,56
136,57
137,58
138,59
139,60
140,61
141,59
142,62
143,59
144,63
145,26
146,64
147,22
148,65
148,66
149,67
150,68
151,69
152,47
153,47
154,47
155,47
156,70
157,71
158,26
159,27
160,72
161,73
162,47
163,74
164,26
165,26
166,75
167,26
167,76
168,26
168,76
169,26
170,26
171,26
172,26
173,26
174,26
175,26
176,26
177,26
178,26
179,26
180,26
181,26
181,75
182,26
183,26
184,26
185,26
186,26
187,26
188,26
189,26
189,75
190,26
191,26
192,26
193,26
194,26
195,26
196,26
197,26
198,26
199,26
200,26
201,26
202,26
203,26
204,26
205,26
206,26
207,26
208,26
209,26
210,26
211,26
212,26
213,26
214,26
215,26
216,26
217,26
218,26
219,26
220,26
221,26
222,26
223,26
224,26
225,26
226,26
227,26
228,26
229,26
230,26
231,26
232,26
233,26
234,26
235,75
236,26
237,26
238,26
239,26
240,26
241,26
242,26
243,26
244,26
245,26
246,26
247,26
248,26
249,26
250,26
251,26
252,26
253,26
254,26
255,26
256,26
257,26
258,26
259,26
260,26
261,26
262,75
263,26
264,26
265,26
266,26
267,26
268,26
269,26
270,26
271,26
272,26
273,26
274,26
275,26
276,26
277,26
278,26
279,26
280,26
281,26
282,26
283,26
284,26
285,75
286,26
287,26
288,26
288,75
289,26
290,26
291,26
292,26
293,26
293,75
294,26
295,26
296,26
297,26
298,26
299,26
300,26
301,26
302,26
303,26
304,26
305,26
306,26
307,26
308,26
309,26
310,26
310,75
311,26
312,26
313,26
314,77
315,78
316,79
317,63
318,80
319,81
319,82
320,83
321,84
322,82
322,85
323,86
323,87
323,88
323,89
324,90
325,91
326,82
326,92
326,93
327,94
328,95
329,96
330,22
331,97
332,98
333,99
334,3
335,100
336,101
337,78
338,102
339,103
340,104
341,105
342,106
343,107
344,107
345,108
346,50
347,109
348,24
348,57
349,110
350,111
351,112
352,113
353,114
354,115
355,116
356,117
357,118
358,119
359,47
360,27
361,120
362,121
363,122
364,122
365,122
366,122
367,122
368,123
369,124
370,124
370,125
371,126
372,126
373,126
374,126
375,126
376,126
377,126
378,126
379,126
380,126
381,126
382,126
383,126
384,126
385,126
386,126
387,126
388,126
389,126
390,126
391,126
392,126
393,126
394,126
395,126
396,126
397,126
398,126
399,126
400,126
401,126
402,126
403,3
404,3
405,3
406,127
407,128
408,129
409,126
410,130
411,131
412,132
413,133
414,133
415,133
416,134
417,135
418,136
419,137
420,137
421,137
422,137
423,137
424,137
425,137
426,137
427,137
428,137
429,137
430,137
431,137
432,137
433,137
434,137
435,137
436,137
437,137
438,137
439,129
440,138
441,139
442,140
443,141
443,142
443,143
444,141
445,141
446,141
447,144
448,145
449,146
450,147
451,147
452,147
453,148
454,147
454,148
455,148
456,148
457,147
458,148
459,147
460,147
461,147
462,147
463,148
464,3
465,149
466,150
467,150
468,150
469,150
470,150
471,150
472,150
473,150
474,150
475,150
476,150
477,150
478,150
479,150
480,150
481,150
482,150
483,150
484,150
485,150
486,150
487,151
488,151
489,151
490,147
490,148
491,79
492,152
492,153
493,154
494,155
495,156
496,137
497,152
498,157
499,150
500,151
501,151
502,151
503,158
504,159
505,160
506,161
507,161
508,161
509,162
510,137
511,163
512,164
513,165
514,165
515,165
516,165
517,165
518,166
519,167
520,168
521,137
522,169
523,170
524,166
525,171
526,172
527,151
528,41
529,173
530,174
531,3
532,3
533,3
534,3
